x	y
6.776e-5	2.122e-4
-6.776e-5	0.999
0.016	1.000
0.046	0.999
0.073	0.999
0.073	0.390
0.098	0.435
0.127	0.488
0.146	0.523
0.166	0.558
0.176	0.576
0.196	0.576
0.217	0.576
0.251	0.577
0.274	0.577
0.237	0.511
0.208	0.459
0.166	0.386
0.141	0.343
0.137	0.334
0.168	0.264
0.185	0.225
0.206	0.179
0.227	0.131
0.251	0.076
0.269	0.035
0.284	0.001
0.189	0.001
0.085	0.244
0.073	0.223
0.073	4.791e-5
