x	y
1.000	0.258
0.999	0.339
0.990	0.417
0.968	0.493
0.913	0.572
0.863	0.591
0.796	0.579
0.745	0.522
0.708	0.419
0.697	0.316
0.700	0.212
0.720	0.114
0.758	0.037
0.808	-0.006
0.864	-0.015
0.897	-0.007
0.928	0.012
0.979	0.088
1.003	0.151
0.957	0.198
0.941	0.213
0.906	0.134
0.852	0.103
0.800	0.142
0.778	0.210
0.773	0.257
0.862	0.258
